%,start(s),end(s),CellId,IMSI,RNTI,LCID,nTxPDUs,TxBytes,nRxPDUs,RxBytes,delay(s),stdDev(s),min(s),max(s),PduSize,stdDev,min,max
0,0.25,6,1,5,3,105,1531742,105,1531742,0.00389183,0.002505,0.00238571,0.00802856,14588,5293.76,690,29503,
0,0.25,6,2,4,3,72,1531655,72,1531655,0.00259404,1.98802e-05,0.00252857,0.0026,21273,6737.88,690,23949,
0,0.25,8,3,7,3,142,1531821,142,1531821,0.00464627,0.0032253,0.00224286,0.0130286,10787.5,20013.9,226,95802,
0,0.25,8,4,6,3,126,1531790,126,1531790,0.00239762,0.000131784,0.00231428,0.00274285,12157.1,7733.11,226,31934,
0,0.25,4,5,3,3,55,1531629,55,1531629,0.00245065,2.4868e-05,0.00231428,0.00245714,27847.8,10091,690,31934,
0,0.25,8,6,5,3,124,1531775,124,1531775,0.00428145,0.00254842,0.00238571,0.00802856,12353,7175.44,458,23949,
0,0.25,4,7,2,3,65,1468859,65,1468859,0.00411098,0.00235024,0.00238571,0.00802856,22597.8,8562.99,923,39048,
0,0.25,6,8,3,3,129,1334225,129,1334225,0.00443499,0.00282907,0.0026,0.0130286,10342.8,13889.4,458,78099,
0,0.25,8,9,4,3,133,1335772,133,1335772,0.00470472,0.00283081,0.00252857,0.0130286,10043.4,6975.37,458,44257,
0,0.25,2,10,5,3,63,1338667,63,1338667,0.00399682,0.00256786,0.00238571,0.00802856,21248.7,6820.14,690,23949,
0,0.25,4,11,1,3,66,1338674,66,1338674,0.00453722,0.00231511,0.00295714,0.00802856,20282.9,10112.3,923,50668,
0,0.25,6,12,2,3,101,1338751,101,1338751,0.00459716,0.00255646,0.00274285,0.0130286,13255,5897.71,458,23949,
0,0.25,8,13,3,3,90,1338726,90,1338726,0.00273888,1.96304e-05,0.00267142,0.00281428,14874.7,3913.91,458,15967,
0,0.25,8,14,2,3,90,1335663,90,1335663,0.00288174,1.96304e-05,0.00281428,0.00295714,14840.7,3963.47,458,15967,
0,0.25,6,15,1,3,106,1334180,106,1334180,0.00439177,0.00224104,0.00295714,0.00802856,12586.6,6366.21,458,28635,
0,0.25,2,16,4,3,68,1332558,68,1332558,0.00481638,0.00270369,0.00238571,0.00802856,19596.4,6516.75,458,23949,
0,0.25,2,17,3,3,78,1334106,78,1334106,0.00268974,0.000105151,0.00231428,0.00274285,17103.9,7170.42,458,31934,
0,0.25,8,18,1,3,90,1334132,90,1334132,0.0030238,1.79171e-05,0.00295714,0.00302856,14823.7,3997.8,458,15967,
0,0.25,2,19,2,3,78,1334106,78,1334106,0.00285366,6.776e-05,0.00245714,0.00288571,17103.9,7170.42,458,31934,
0,0.25,2,20,1,3,78,1335638,78,1335638,0.00301757,5.8785e-05,0.00252857,0.00302856,17123.6,7396.53,458,31934,
